,hashtag_name,hashtag_id,hashtag_name,hashtag_id
9,3dprinting,21.0,,
229,EUROPE,496.0,EUROPE,496.0
309,GlobalPandemic,649.0,GlobalPandemic,649.0
398,,,JVL2,818.0
633,,,RESTEZCHEZVOUS,1310.0
646,ResignTrump,1340.0,ResignTrump,1340.0
651,,,ResterChezVous,1348.0
656,Romania,1360.0,Romania,1360.0
663,SARSCoV2,1372.0,SARSCoV2,1372.0
668,SIRCSWORLDNEWS,1385.0,SIRCSWORLDNEWS,1385.0
711,Skypeclinics,1467.0,Skypeclinics,1467.0
741,StateOfEmergency,1524.0,StateOfEmergency,1524.0
809,TheLacet,1638.0,TheLacet,1638.0
914,,,WomenInSTEM,1838.0
1068,clinics,2127.0,clinics,2127.0
1130,diabetes,2248.0,diabetes,2248.0
1137,diy,2265.0,,
1180,eu,2346.0,,
1181,europe,2347.0,,
1292,hypertension,2541.0,hypertension,2541.0
1328,italiazonaprotetta,2604.0,italiazonaprotetta,2604.0
1329,italy,2605.0,,
1414,mellitus,2748.0,mellitus,2748.0
1526,pneumonia,2953.0,pneumonia,2953.0
1587,respirator,3069.0,,
