Unnamed: 0,tweet_id,text
0,1.23955E+18,....except for closing. @AventuraMall #staythefuckhome #publichealth #publicsafety #covid19 https://t.co/esSEDSwdN2
1,1.23955E+18,"#AlanAdvantage #MIT #coronavirus
#COVID19: the #human dimensions of the response.

The art of effective crisis #leadership focuses on three interdependent areas:
▪️ #adaptive capacity
▪️ #resilience
▪️ #trust

MIT Sloan Management Review [@mitsmr]⤵️
https://t.co/EBza2rKfmE"
2,1.23955E+18,"Good luck, Take care
#โควิด 
#โควิท_19 
#โควิด19 
#COVIDー19 
#COVID19 https://t.co/uVhBfPA687"
3,1.23955E+18,"The president of #Catalonia Infected with #coronavirus
#COVID19 #Spain #CoronaVirusUpdates"
4,1.23955E+18,#Facts vs. #Fear #Coronavirus the how and more importantly why of #COVID19 : https://t.co/XXqhhsLVow
5,1.23955E+18,"#Duque: ""The percentage of deaths at 8% is only high because we haven't tested enough."" #DutertesMen #Covid19 #PublicHealthPH"
6,1.23955E+18,#WorldNews #BreakingNews #CVNews #TruthBeTold #TheGreatAwakening #ThePerfectStorm #Covid19 #CoronaVirus #MeHole 🇮🇪🧐🇮🇪 More like #DrainTheSwamp #DrainTheBog #PedoGate all in one 🇮🇪🤔🇮🇪 #PPTF #TCC and #OUR ALL CALLED IN THE…https://t.co/v0oXSclFJN https://t.co/hAnd4PvsEc
7,1.23955E+18,"We stand not only by #Italy but also by #Iran, #Afg and #Spain during these trying times. Share your Support for our all friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly
@GermanAmbAFG 
#irancoronavirus"
8,1.23955E+18,"Maybe, just maybe we'll learn from our time with #COVID19 and this #healthcrisis that #MedicareForAll is what we need now and in the future. Here's how to go about it. @jwrpdx https://t.co/NIBsirIH0r"
9,1.23955E+18,So happy to see this 👏🏼👏🏼👏🏼 #SocialDistancing #FlattenTheCurve #COVID19 #covidtoronto https://t.co/yH7jhGDfHV
10,1.23955E+18,"Car crashes are more dangerous than coronavirus, SpaceX and Tesla CEO Elon Musk says #ElonMusk #Tesla #SpaceX #Coronavirus #CoronavirusOutbreak #COVID #COVID2019 #COVIDー19 #COVID19 https://t.co/cgMHEuQPy3"
11,1.23955E+18,#HappeningNow We have joined the @BLocalgovt Rapid Response taskforce for #COVID19. #WeAreInThisTogether https://t.co/trKdA4pydz
12,1.23955E+18,We’re waiting for #RI @GovRaimondo for a #COVID19 update. It’s set to start at 10a. Tune into #NECN for the live update.
13,1.23955E+18,Well if there’s anything I’ve learned - even a deadly virus won’t stop #Montreal construction 🤦🏽‍♀️ #covid19 #wokeuptodrilling
14,1.23955E+18,The #racist right want to use the #COVID19 crisis to divide us! #WeStandTogether #WorldAgainstRacism #RacismIsAVirus - donate and fund the #antiracist movement at this critical time https://t.co/OOCv9YGBX0
15,1.23955E+18,"For those interested, the #DowJones live tracker: https://t.co/hXWWB3oZxN #COVID19 #COVIDー19 #Coronavirus #CoronaVirusUpdates #CoronavirusUSA"
16,1.23955E+18,"Where's Dolores Umbridge when you need her?
#SocialDistancing #lockdown #COVID19 https://t.co/qQrvs0tozD"
17,1.23955E+18,"I’m a helluva lot more afraid of mass panic than I am #coronavirus.

#COVID19 #MassHysteria #MobRule #CrowdMentality"
18,1.23955E+18,Thanks @ColoradoSun &amp; @JesseAPaul for this story. #COVID19 #FirstPersonAccount #FourthEstate https://t.co/XInzPqmAX7
19,1.23955E+18,"“If you look for the helpers, you will know that there’s hope.” #anxiety #fear #hope #peace #COVID19 

Fred Rogers: Look for the Helpers https://t.co/dljG4bWb4j via @YouTube"
20,1.23955E+18,"#Nagaland #COVID19 #Update
-Measure taken by the State Government on March 16 https://t.co/y7fkG3YPwM"
21,1.23955E+18,Red #Polygonal #Coronavirus microorganism #3D #icon. Vector low poly Coronavirus #COVID19 cell symbol for #pandemic infection identification.  https://t.co/80DgElztZf https://t.co/A78SCkQZBn
22,1.23955E+18,#Soap the #BestFriend we #tookforgranted 👏 #COVID19 https://t.co/yWSXe9et9b
23,1.23955E+18,"#COVID19 and the current market volatility, @QuantumAdvisory, @bankofengland https://t.co/YwDEl3zzD2 #pensions #investment"
24,1.23955E+18,"Me in three weeks if these weave packs don't clear customs from China:
#COVID19 #Rona #coronapocolypse https://t.co/qN3A1aXChn"
25,1.23955E+18,"#Democrats #Republicans we need #Leaders with #compassion for #WeThePeople 
#MarketCrash #COVID19 
#Trump was not the one it was #BernieSanders we wanted since 2015 ~ No more #FOSSILS #ShutItDown #ClimateChange #Bernie fights for #HumanRights not #QuidProQuo not pathological liar https://t.co/2GnIsJLSL5"
26,1.23955E+18,"The world and now the stock market knows what a shitty leader @realdonaldtrump is. When will the #gop catch on?
#coronavirus
#covid19"
27,1.23955E+18,"Good #MondayMorning! 
We need to keep our immune system strong against this nasty #COVID19 / #CoronavirusOutbreak by cleaning our homes with only natural products. Since we are under the #QuarantineLife in our homes they offer free shipping, check it out https://t.co/ppKw2uIcGp https://t.co/LDaf2u85jn"
28,1.23955E+18,MTA reiterates the call to cancel #MCAS this spring. #COVID19 #maedu https://t.co/BjSTCoHoP4
29,1.23955E+18,Around 800 people stranded at #Delhi international airport since 9 AM. All returning from #France or #Germany. All of them waiting to be quarantined. Complete chaos. #COVID19 #IndiaFightsCorona https://t.co/u68XngyVOd
30,1.23955E+18,#Georgia temporarily bans entry to foreigners from March 18 #COVID19 #coronavirus
31,1.23955E+18,I knew this was gonna come back and bite us in the ass! LOL 🙃.  #COVID19 #SARSCoV2 #COVIDCanada 🤡 https://t.co/w648flQ2jl
32,1.23955E+18,"#Coronavirus trademarks at the #USPTO brand cesspool 

https://t.co/wypmunJBjy

#domains #trademarks #covid19 #brands #washyourhands"
33,1.23955E+18,"Wake me up when coronavirus ends. Thank you to @GreenDay ❤️🇮🇹

#greenday #COVIDー19 #COVID19 #Coronavirusitalia https://t.co/aJKcrcrHEV"
34,1.23955E+18,What’s the best way to prepare your org for #pandemic #risk? Read these 10 steps from Gartner #COVID19 #Customerexperience #Customerservice https://t.co/vnZIqouf3A
35,1.23955E+18,"Nigeria: How 15 died in Lagos explosion

https://t.co/84RA0jLj76 #USA #COVID19 #Honda #Hitachi #Burberry #Barclays #Nissan #Netflix #Dyson #JPMorgan #China #Michelin #Toyota #Hitachi #Burberry #Honda #HSBC #Sony #Lioyds #Eba #Ford #HSBC #Nissan #Netflix https://t.co/sFXNAgOi3s"
36,1.23955E+18,"Get some soap. Definitely get soap. Dove! 🧼
#COVID19 #lockdown #QuarantineLife"
37,1.23955E+18,"You know, if you just eat your toilet paper, your ass will wipe itself.

#coronapocolypse #QuarantineLife #COVID19 #CoronavirusOutbreak #toiletpaper #lifehack #ToiletPaperPanic"
38,1.23955E+18,Trump signs stock market image. #COVID19 #CoronavirusOutbreak #QuarantineLife #Trump #TrumpCrash  #Trump2020 https://t.co/3CbK2ucnBi
39,1.23955E+18,"Science Storytime: Lunch Edition https://t.co/gZgepKC4oH
#quarantine #corona #covid19 #elementaryschool #steam #stem"
40,1.23955E+18,Trust Scorpion. #16Marzo #COVID19 #andratuttobene #sdrammatiziamo  @MortalKombat https://t.co/VvWGjdWWqe
41,1.23955E+18,"@Scholastic offering free online resources so #kids can keep #learning during #schoolclosures | #HOPE #FlattenTheCurve #COVID19 
https://t.co/f5N5dIIwjU"
