Unnamed: 0,tweet_id_x,hashtag_x,hashtag_y
10,1239551557630398465,staythefuckhome,3
11,1239551557630398465,publichealth,3
12,1239551557630398465,publicsafety,3
24,1239551543839535104,maga,9
25,1239551543839535104,qanon,9
26,1239551543839535104,kag2020,9
27,1239551543839535104,q,9
28,1239551543839535104,wwg1wga,9
29,1239551543839535104,TrumpTrain,9
30,1239551543839535104,americafirst,9
31,1239551543839535104,resist,9
32,1239551543839535104,voteblue,9
35,1239551543499776000,AlanAdvantage,3
36,1239551543499776000,MIT,3
39,1239551543499776000,human,3
40,1239551543180845056,โควิด,3
41,1239551543180845056,โควิท_19,3
42,1239551543180845056,โควิด19,3
46,1239551541369061382,Catalonia,2
49,1239551541369061382,Spain,2
70,1239551511497244672,terre,3
71,1239551511497244672,reflexion,3
72,1239551511497244672,citation,3
77,1239551505973178368,Facts,2
78,1239551505973178368,Fear,2
84,1239551501522984960,Duque,3
85,1239551501522984960,DutertesMen,3
87,1239551501522984960,PublicHealthPH,3
88,1239551501472862209,WorldNews,7
89,1239551501472862209,BreakingNews,7
90,1239551501472862209,CVNews,7
91,1239551501472862209,TruthBeTold,7
92,1239551501472862209,TheGreatAwakening,7
93,1239551501472862209,ThePerfectStorm,7
96,1239551501472862209,MeHole,7
112,1239551494673833990,Italy,4
113,1239551494673833990,Iran,4
114,1239551494673833990,Afg,4
115,1239551494673833990,Spain,4
117,1239551494405439492,healthcrisis,2
118,1239551494405439492,MedicareForAll,2
119,1239551493784641536,SocialDistancing,2
120,1239551493784641536,FlattenTheCurve,2
123,1239551492543021056,ElonMusk,3
124,1239551492543021056,Tesla,3
125,1239551492543021056,SpaceX,3
129,1239551486411112460,HappeningNow,2
131,1239551486411112460,WeAreInThisTogether,2
133,1239551485748396037,RI,2
135,1239551485748396037,NECN,2
140,1239551472053952515,Montreal,2
142,1239551472053952515,wokeuptodrilling,2
146,1239551467477925888,racist,3
148,1239551467477925888,WeStandTogether,3
149,1239551467477925888,WorldAgainstRacism,3
150,1239551465427001345,DowJones,1
168,1239551451782877184,SocialDistancing,2
169,1239551451782877184,lockdown,2
192,1239551421676015617,MassHysteria,3
193,1239551421676015617,MobRule,3
194,1239551421676015617,CrowdMentality,3
197,1239551420602429447,FirstPersonAccount,2
198,1239551420602429447,FourthEstate,2
202,1239551413811916801,anxiety,4
203,1239551413811916801,fear,4
204,1239551413811916801,hope,4
205,1239551413811916801,peace,4
212,1239551403216875521,Nagaland,2
214,1239551403216875521,Update,2
225,1239551395319156736,Polygonal,4
227,1239551395319156736,3D,4
228,1239551395319156736,icon,4
230,1239551395319156736,pandemic,4
231,1239551393863798785,Soap,3
232,1239551393863798785,BestFriend,3
233,1239551393863798785,tookforgranted,3
239,1239551390923579393,pensions,2
240,1239551390923579393,investment,2
242,1239551389128364036,Rona,1
254,1239551378806181891,Democrats,7
255,1239551378806181891,Republicans,7
256,1239551378806181891,Leaders,7
257,1239551378806181891,compassion,7
258,1239551378806181891,WeThePeople,7
259,1239551378806181891,MarketCrash,7
261,1239551378806181891,Trump,7
273,1239551371650707459,gop,1
276,1239551366109884416,MondayMorning,1
283,1239551356043694080,MCAS,2
285,1239551356043694080,maedu,2
290,1239551353396944903,Iraq,2
291,1239551353396944903,healthcare,2
309,1239551322657038338,Delhi,3
310,1239551322657038338,France,3
311,1239551322657038338,Germany,3
325,1239551305292677120,Georgia,1
347,1239551277996130304,SARSCoV2,1
352,1239551275311804416,USPTO,5
353,1239551275311804416,domains,5
354,1239551275311804416,trademarks,5
356,1239551275311804416,brands,5
357,1239551275311804416,washyourhands,5
370,1239551258614210560,walk,2
371,1239551258614210560,ruralireland,2
372,1239551257901240320,greenday,1
377,1239551257729208320,pandemic,2
378,1239551257729208320,risk,2
393,1239551234916450306,USA,5
395,1239551234916450306,Honda,5
396,1239551234916450306,Hitachi,5
397,1239551234916450306,Burberry,5
398,1239551234916450306,Barclays,5
411,1239551213420466177,lockdown,2
412,1239551213420466177,QuarantineLife,2
434,1239551193598361607,QuarantineLife,1
443,1239551186539352064,QuarantineLife,4
444,1239551186539352064,Trump,4
445,1239551186539352064,TrumpCrash,4
446,1239551186539352064,Trump2020,4
447,1239551186203787265,quarantine,4
450,1239551186203787265,elementaryschool,4
451,1239551186203787265,steam,4
452,1239551186203787265,stem,4
457,1239551179270610947,soundproduction,3
458,1239551179270610947,student,3
459,1239551179270610947,free,3
471,1239551172610002944,16Marzo,3
473,1239551172610002944,andratuttobene,3
474,1239551172610002944,sdrammatiziamo,3
475,1239551172270346241,kids,4
476,1239551172270346241,learning,4
477,1239551172270346241,schoolclosures,4
478,1239551172270346241,HOPE,4
481,1239551167828459520,NMUTwitter,1
485,1239551165798526977,mondaythoughts,2
486,1239551165798526977,MorningJoe,2
505,1239551141697990657,SocialSecurityTribunal,4
506,1239551141697990657,sst,4
507,1239551141697990657,hearings,4
508,1239551141697990657,update,4
