Source,Target,Edge_Freq
0,2379,1
1,2228,1
1,2828,1
1,3175,1
2,103,1
2,3141,1
2,3437,1
3,4,1
5,1921,1
5,3126,1
6,2589,1
6,3098,1
7,2092,1
7,2448,1
10,74,1
10,196,1
10,319,1
10,399,1
10,1048,1
10,1088,1
10,1338,1
10,1719,1
10,1768,1
10,1785,1
10,1964,1
10,2157,1
10,2301,1
10,2801,1
10,3013,1
10,3295,1
12,2491,1
12,2622,1
12,3409,1
13,614,1
14,1277,1
15,2306,1
15,2411,1
15,2412,1
16,1430,1
17,1299,1
17,1555,1
17,1792,1
17,3461,1
18,1258,1
18,2522,1
18,2546,1
18,2898,1
18,3274,2
19,928,1
19,1658,1
19,2999,1
20,2999,1
20,3319,1
21,2265,1
21,2605,1
21,3069,1
22,1299,1
22,1544,1
22,2706,1
23,25,1
23,2133,1
23,2364,1
23,2485,1
25,2133,1
25,2364,1
25,2485,1
26,3320,1
27,87,1
27,1285,1
27,2726,1
27,2937,1
28,737,1
28,1855,1
28,2294,1
29,3096,1
29,3233,1
30,769,1
31,1781,1
32,997,1
32,2140,1
32,2141,1
32,2142,1
32,2676,1
32,2947,1
33,43,1
33,44,1
33,45,1
34,2251,1
34,3047,1
35,48,1
35,54,1
35,743,1
36,97,1
36,99,1
36,1072,1
36,1249,1
36,3497,1
36,3498,1
37,89,1
37,1375,1
37,1490,1
38,227,1
38,713,1
39,2876,1
40,817,1
42,417,1
42,1356,1
42,1999,1
43,44,1
43,45,1
44,45,1
46,110,1
46,111,1
47,672,1
47,1309,1
47,1397,1
48,54,1
48,743,1
49,64,1
49,1483,1
50,147,1
51,109,1
52,891,1
52,1074,1
53,424,1
54,743,1
55,1948,1
56,129,1
56,1299,1
56,1534,1
57,69,2
59,92,1
60,62,2
60,1236,1
60,2892,1
60,3350,1
61,62,1
62,577,1
62,1236,1
62,2892,1
62,3350,1
63,845,1
63,846,1
63,1557,1
64,1483,1
66,3198,1
66,3250,1
67,802,1
67,813,1
67,1505,1
68,319,1
68,713,1
68,2695,1
69,117,1
69,445,1
69,697,1
69,905,4
69,1494,2
69,1607,5
69,1875,1
69,1885,1
70,905,1
70,1607,1
71,1724,1
73,199,2
73,1274,2
73,1680,2
74,234,1
74,1368,1
74,1719,2
74,1765,1
75,951,1
75,2529,1
76,272,1
76,1508,1
76,2495,1
77,1715,1
77,2681,1
78,248,1
78,2830,1
79,519,1
80,1999,1
80,2492,1
81,177,1
82,185,1
82,2432,1
82,2433,1
83,1152,1
84,3114,1
85,273,1
85,1760,1
86,155,1
86,191,1
86,372,1
86,500,1
86,1296,1
86,1832,1
86,1998,1
86,3166,1
87,273,1
87,319,1
87,368,1
87,434,1
87,460,1
87,579,1
87,1199,1
87,1208,1
87,1285,1
87,1336,1
87,1431,1
87,1505,1
87,1717,1
87,1785,1
87,2061,1
87,2410,1
87,2426,1
87,2636,1
87,2695,1
87,2726,1
87,2937,1
87,3481,1
87,3482,1
88,1703,1
89,1375,1
89,1490,1
90,1296,1
90,1532,1
90,1682,1
90,1699,1
91,1445,1
91,1592,1
93,884,1
93,1862,1
94,533,1
94,3257,1
94,3430,1
95,976,1
95,2724,1
95,3036,1
95,3332,1
96,438,1
97,99,1
97,1072,1
97,1249,1
97,3497,1
97,3498,1
99,1072,1
99,1249,1
99,3497,1
99,3498,1
101,1055,1
102,561,1
102,1212,1
103,3141,1
103,3437,1
104,105,1
104,2695,1
105,2695,1
106,1868,1
107,268,1
107,952,1
107,3375,1
108,501,1
108,778,1
108,895,1
108,1759,1
110,111,1
112,1544,1
114,1066,1
115,1073,1
115,2193,1
115,3503,1
115,3504,1
116,757,1
116,1327,1
116,1328,1
117,905,1
117,1494,1
117,1607,1
119,730,1
119,802,1
119,1603,1
119,1726,1
119,2858,1
121,1290,1
121,1299,1
121,1645,1
121,2907,1
121,3144,1
122,567,1
122,770,1
122,1108,1
124,531,1
124,861,1
125,1165,1
125,1660,1
126,638,1
126,733,1
126,876,1
126,1099,1
126,1408,1
126,1409,1
127,3151,1
127,3405,1
127,3406,1
128,836,1
128,2619,1
129,1299,1
129,1534,1
130,1426,1
130,2049,1
130,2384,1
130,3232,1
131,341,1
131,747,1
131,750,1
131,751,1
131,791,1
132,960,1
133,1483,1
133,1529,1
133,1804,1
134,2495,2
134,2873,2
135,2793,1
135,2794,1
135,2819,1
135,3031,1
135,3383,1
135,3391,1
136,1599,1
136,1999,1
136,2406,1
137,1299,1
138,2323,1
139,1970,1
139,2088,1
140,3058,1
141,854,1
141,1489,1
142,181,1
142,355,1
142,356,1
142,458,1
142,785,1
142,837,2
142,983,1
142,1035,1
142,1336,1
142,1528,3
142,1682,1
143,2147,1
143,3389,1
144,2890,1
145,3039,1
148,821,1
149,228,1
149,311,1
149,466,1
149,765,2
149,807,1
149,917,1
149,1013,1
149,1129,1
149,1131,1
149,1132,1
149,1160,1
149,1494,6
149,1795,2
149,2820,1
150,1299,1
150,1452,1
151,1299,1
151,2239,1
151,2657,1
151,2913,1
152,1097,1
153,797,1
153,1785,1
155,191,1
155,372,1
155,1832,1
156,355,1
156,1364,1
156,1626,1
156,1677,1
156,1817,1
157,3175,1
157,3200,1
158,1018,1
158,2480,1
159,1369,1
159,1444,1
159,3024,1
161,588,1
161,978,1
161,1635,1
162,242,1
162,721,1
162,729,1
162,1728,1
163,180,1
163,942,1
163,973,1
164,577,1
164,1240,1
164,1483,1
164,1491,1
165,1438,1
166,300,1
167,328,1
167,347,1
167,902,1
167,1007,1
167,1193,1
167,1466,1
167,1472,1
167,1617,1
169,576,1
169,1510,1
169,1529,1
169,1531,1
