Source,Target
1,2228
7,2092
10,196
10,1048
10,1338
10,1768
10,1785
10,1964
10,2801
13,614
15,2306
15,2411
15,2412
17,1299
17,1792
18,2522
18,2546
18,2898
21,3069
22,2706
27,87
27,1285
27,2726
27,2937
38,227
38,713
42,417
42,1999
49,64
60,1236
60,2892
60,3350
62,60
62,60
62,61
62,577
62,1236
62,2892
62,3350
67,1505
69,57
69,57
69,117
69,445
69,697
69,905
69,1494
69,1607
69,1607
69,1875
69,1885
70,905
70,1607
74,10
74,234
74,1368
74,1719
74,1765
76,1508
76,2495
80,1999
80,2492
85,273
85,1760
86,155
86,191
86,372
87,434
87,460
87,1208
87,1336
87,1431
87,1505
87,1717
87,2410
87,2695
87,2726
87,2937
90,1532
91,1445
91,1592
102,561
102,1212
104,105
104,2695
105,2695
107,3375
108,778
112,1544
115,1073
117,1494
119,730
119,802
119,1603
119,1726
119,2858
121,1290
126,733
126,1408
129,56
129,1299
129,1534
134,2495
134,2495
134,2873
134,2873
135,2793
135,3031
136,1599
136,1999
136,2406
137,1299
139,1970
139,2088
140,3058
142,355
142,983
142,1336
142,1528
142,1528
143,2147
143,3389
149,311
149,466
149,765
149,765
149,807
149,917
149,1013
149,1160
149,1494
149,1494
149,1494
149,1494
149,1494
149,1494
149,1795
149,1795
150,1299
150,1452
151,1299
151,2913
153,797
153,1785
155,372
157,3175
157,3200
158,1018
158,2480
159,1369
159,1444
159,3024
164,577
164,1491
169,576
169,1531
170,1530
172,694
172,1610
174,1076
174,1101
176,1299
176,1529
176,2961
179,858
179,2969
179,3275
181,142
181,536
181,837
181,897
181,1003
181,1451
181,1528
181,1682
189,815
189,839
189,1208
189,1320
189,1791
189,1853
190,1785
191,155
191,372
194,907
194,1049
194,2679
196,1048
198,181
198,2776
203,589
207,2786
211,2027
212,1739
212,2760
213,1811
223,565
223,1088
223,1173
223,2491
227,466
227,713
227,845
227,944
227,1358
227,1669
227,1796
227,1797
228,149
228,227
228,271
228,504
228,995
228,1159
228,1494
228,1494
228,1637
228,1641
228,1672
228,1700
228,2175
231,211
231,495
231,2027
231,3395
233,1935
233,1935
233,2495
233,2495
237,525
238,293
238,580
242,162
245,1612
245,3058
250,504
250,1252
250,1713
251,2006
251,2429
252,273
252,319
252,366
252,440
252,595
252,612
252,697
252,697
252,1682
252,1785
252,1785
252,1785
256,1370
256,1855
256,1856
256,1857
256,1858
262,488
263,981
268,107
268,952
268,3375
269,2583
269,3381
271,995
271,1637
271,1641
271,1700
272,76
272,1508
272,2495
273,87
273,595
273,1127
273,1127
278,945
278,1532
278,1804
281,2933
282,1425
282,3066
284,355
284,505
284,833
284,1271
284,1364
287,1759
288,2088
293,580
296,697
296,1251
298,1505
299,2340
299,3119
301,299
301,577
301,1483
301,2340
301,3119
302,986
302,1977
302,3034
313,170
313,1530
315,2615
317,782
317,819
318,1855
319,10
319,68
319,87
319,251
319,276
319,779
319,802
319,809
319,827
319,883
319,1109
319,1202
319,1369
319,1460
319,1502
319,1728
319,1742
319,1764
319,1785
319,2104
319,2139
319,2301
319,2304
319,2306
319,2306
319,2322
319,2437
319,2647
319,2695
319,2695
319,2898
319,3165
319,3452
321,601
321,603
321,1858
323,2887
323,2898
323,2968
323,3073
323,3264
324,319
324,3452
330,1172
334,2737
334,2802
334,2814
334,2815
334,3101
337,3229
340,420
341,131
342,1978
342,3389
343,342
343,1978
343,3389
344,1041
344,1452
352,1483
353,575
353,2069
353,2200
353,2365
355,156
355,410
355,858
355,1364
355,1626
355,1677
355,1817
356,142
356,983
356,1035
356,1336
356,1528
358,577
358,1552
358,1858
361,1140
361,1450
362,561
368,87
368,2061
368,2426
368,2636
369,3389
370,245
378,1440
390,1826
395,203
395,516
395,570
395,589
395,800
395,2008
397,455
397,804
397,813
397,954
399,10
401,1614
402,2214
402,2224
402,2571
402,2921
403,1906
403,1906
403,3343
403,3343
407,466
408,174
408,1076
408,1101
408,1550
408,1673
408,2776
408,3228
421,466
421,1551
422,1163
422,1299
426,1040
426,1452
428,187
428,187
428,596
428,639
429,319
429,433
429,1299
429,1452
429,2776
431,470
431,906
431,1336
431,1682
432,181
432,897
432,1123
432,1163
432,1451
433,1452
433,2776
434,460
434,896
434,983
434,1336
434,1336
434,1682
434,1717
434,1817
434,2152
435,181
435,837
440,273
440,595
447,1529
447,1804
447,3252
454,439
454,512
454,1153
454,1153
455,804
455,813
458,142
458,355
458,523
458,785
458,1528
458,3329
458,3346
459,1542
460,1717
461,1299
461,1608
462,461
462,640
462,641
462,1299
462,1608
463,1299
465,2852
465,2853
466,390
466,465
466,845
466,944
466,1101
466,1551
466,1551
466,1551
466,1692
466,1796
466,1797
466,1826
466,2473
466,2852
466,2853
466,2985
466,3228
471,795
471,1253
471,1571
471,1612
472,395
472,2008
474,2024
474,2901
475,2898
477,252
477,273
477,440
477,595
477,612
477,1682
478,572
479,478
479,572
479,573
484,1447
484,2409
484,2701
484,3246
484,3276
490,262
490,488
490,1299
492,1101
495,237
495,525
500,86
500,1998
500,3166
501,108
501,778
504,909
504,993
504,1054
504,1252
504,1462
504,1568
504,1707
504,2038
504,3258
504,3329
504,3343
504,3491
504,3494
505,355
505,1271
505,1364
512,439
516,203
516,570
516,589
516,800
516,910
516,1047
516,2324
521,262
521,488
521,490
521,746
522,1804
523,319
523,434
523,1785
523,2062
523,2677
523,3329
523,3346
523,3346
526,1208
528,1704
536,181
536,432
536,897
536,1123
536,1451
538,281
538,2933
543,235
543,1099
543,1424
544,231
544,982
548,561
549,2255
549,2476
550,1425
552,434
552,523
552,1119
552,1775
552,2062
552,2677
552,3346
553,434
553,523
553,552
553,2062
553,2677
553,3346
554,1301
555,1032
557,584
557,604
561,1212
564,1138
565,1173
565,2491
566,1785
566,2081
570,203
570,589
573,478
573,572
575,454
575,1153
575,2200
577,225
577,299
577,686
577,863
577,863
577,863
577,863
577,863
577,863
577,863
577,863
577,863
577,863
577,863
577,863
577,879
577,1041
577,1191
577,1298
577,1346
577,1372
577,1483
577,1483
577,1534
577,1544
577,1546
577,1546
577,1546
577,1546
577,1546
577,1546
577,1546
577,1546
577,1546
577,1546
577,1546
577,1546
577,1743
577,2340
577,2898
577,3056
577,3119
579,87
579,368
579,2061
579,2426
579,2636
580,423
580,564
580,1138
580,3073
581,528
581,1704
582,697
582,1248
582,1674
582,1804
582,2933
584,284
584,355
584,505
584,585
584,604
584,833
584,1271
584,1347
584,1364
584,2901
585,1347
596,639
596,653
596,1253
596,1451
596,1532
596,1587
598,762
598,1005
600,878
600,1043
601,603
605,231
610,697
610,1201
612,273
612,440
612,595
612,944
612,1682
613,614
614,1058
614,2449
616,614
616,1058
616,2449
620,650
621,2648
621,2649
627,1613
633,833
633,958
633,1053
633,1053
633,1774
633,1817
638,126
638,286
638,314
638,1296
638,1525
639,495
639,1682
639,1719
639,1726
639,1785
639,1999
639,2060
639,2243
639,2509
639,3375
639,3375
641,640
645,646
645,1534
646,1534
647,700
649,1372
652,3182
653,832
653,1587
653,3062
653,3088
653,3451
656,181
656,536
656,984
656,1003
656,1445
656,1451
657,577
658,559
658,1299
658,3474
669,1370
677,172
677,694
677,1610
680,509
681,3096
684,401
684,977
684,1614
686,1346
686,1483
687,1042
687,1484
687,1536
688,689
693,1783
693,1783
696,1858
697,319
697,445
697,709
697,998
697,1052
697,1674
697,2493
698,1460
706,2501
711,289
711,1299
711,1483
711,2067
713,68
717,2357
717,3238
721,162
721,242
722,999
722,1569
722,1675
722,1676
728,577
728,1529
728,3356
729,162
729,242
729,721
730,1603
732,813
733,1408
733,2350
733,3061
734,1519
734,1726
734,2158
734,2189
735,1985
737,28
737,1855
737,2294
746,262
746,488
746,490
746,1428
747,131
747,341
747,750
747,751
747,791
748,501
749,728
750,131
750,341
751,131
751,341
751,750
761,1166
762,1005
763,802
766,1871
766,1873
766,2156
766,2589
773,195
774,1299
777,2268
780,612
780,944
782,207
782,1505
782,2786
782,2856
782,2969
782,3288
785,142
785,355
785,1528
790,1779
790,1990
790,1991
791,131
791,341
791,750
791,751
793,697
793,998
795,627
795,1128
795,1612
795,1612
795,1613
796,317
796,782
796,819
797,1785
798,2042
798,2582
800,203
800,570
800,589
801,2382
802,67
802,869
802,1276
802,1505
802,1505
802,1726
803,2495
804,1794
806,798
806,2042
806,2582
806,2695
809,2605
809,2605
809,2606
813,67
813,187
813,187
813,319
813,319
813,428
813,428
813,792
813,802
813,802
813,802
813,804
813,809
813,1009
813,1453
813,1505
813,1505
813,1505
813,1719
813,1728
813,2575
813,2606
813,2647
815,839
815,1208
815,1320
815,1791
815,1853
818,1348
819,782
822,823
822,1043
822,1107
823,1043
823,1107
824,867
824,867
824,867
824,867
824,867
824,888
824,888
824,888
824,888
824,888
825,888
826,867
826,888
827,315
827,315
827,732
827,813
827,1460
827,1502
827,1661
827,1764
827,1804
827,3239
828,827
828,1661
829,827
829,828
829,1661
830,355
830,1021
830,1682
833,355
833,505
833,1271
833,1364
834,2588
834,2728
834,2934
834,3480
837,142
837,142
837,181
837,355
837,458
837,633
837,785
837,833
837,958
837,1053
837,1528
837,1528
837,1682
837,1682
837,1774
839,1208
839,1320
839,1791
839,1853
843,520
843,2528
845,63
845,1557
846,63
846,845
846,1187
846,1289
846,1557
846,1588
846,1683
846,2221
846,3299
847,577
847,3056
848,849
848,2641
848,2898
849,2641
849,2898
855,1481
855,1532
856,614
856,616
856,1058
856,2449
856,3346
858,179
858,179
858,179
858,410
859,632
859,1369
859,1671
859,1702
863,1546
863,1546
863,1546
863,1546
863,1546
863,1546
863,1546
863,1546
863,1546
863,1546
863,1546
863,1546
865,1726
866,972
866,2638
867,782
867,1171
867,1243
867,1505
867,2856
867,2969
867,3288
868,1127
876,126
876,733
876,1099
876,1408
876,1409
878,1043
878,1299
885,388
886,697
886,1052
887,1128
888,867
888,867
888,867
888,867
888,867
888,867
892,296
892,697
892,1251
895,108
895,1759
896,983
896,1682
896,1817
896,2152
897,1451
905,69
905,69
905,69
905,117
905,1494
905,1607
905,1607
905,1607
905,1607
905,1607
905,1607
905,1607
905,1819
905,2262
905,3452
906,470
906,1682
909,993
909,1054
909,1568
910,1047
912,697
912,886
912,1052
919,1534
920,2695
922,3024
924,1311
924,1485
924,1544
927,1523
936,3215
944,845
946,947
946,3287
952,107
952,3375
958,833
958,1053
958,1774
961,2898
961,3018
962,1096
962,1990
962,2506
965,596
971,699
971,2045
971,2585
972,2638
977,401
977,1614
980,1099
982,231
983,181
983,432
983,536
983,897
983,1123
983,1451
983,1682
984,181
984,536
984,1003
984,1445
984,1451
986,245
986,370
986,1554
986,1977
986,3034
993,1568
999,431
999,470
999,906
999,1336
999,1675
999,1682
999,2452
1000,233
1000,233
1000,1935
1000,1935
1000,2495
1000,2495
1000,3015
1000,3015
1003,181
1003,536
1003,708
1003,1147
1005,866
1005,1006
1005,3090
1009,1453
1018,2480
1019,1728
1021,355
1021,1682
1023,251
1027,1264
1035,142
1035,983
1035,1336
1035,1528
1037,1494
1038,514
1038,577
1038,1189
1038,1190
1038,1448
1038,1483
1038,1653
1038,1840
1039,1483
1040,195
1040,283
1040,466
1040,514
1040,773
1040,1038
1040,1041
1040,1045
1040,1186
1040,1410
1040,1551
1040,1840
1040,1876
1040,2776
1041,270
1041,283
1041,358
1041,466
1041,1040
1041,1296
1041,1299
1041,1319
1041,1485
1041,1544
1041,1551
1041,1551
1041,1552
1041,1858
1041,2120
1041,2392
1041,2836
1041,3471
1042,229
1042,466
1042,597
1042,1040
1042,1041
1042,1484
1042,1551
1042,1793
1043,421
1043,466
1043,878
1043,1041
1043,1107
1043,1434
1043,1551
1043,2776
1044,554
1044,1301
1044,2267
1045,2776
1046,1485
1046,3135
1049,907
1049,2679
1050,1299
1050,1950
1050,3367
1053,466
1053,833
1053,1040
1053,1041
1053,1042
1053,1551
1053,1774
1053,1817
1053,2783
1054,993
1054,1568
1056,788
1058,2449
1065,1505
1088,10
1088,565
1088,1173
1088,2491
1088,3013
1096,1990
1096,2506
1099,126
1099,235
1099,733
1099,1408
1099,1409
1099,2853
1101,1076
1101,1596
1109,779
1109,1202
1109,1369
1110,2854
1116,1299
1116,1644
1116,2853
1119,1775
1120,2695
1123,181
1123,897
1123,1451
1127,931
1127,2025
1127,2760
1128,227
1128,228
1128,627
1128,1612
1128,1613
1129,149
1129,228
1129,244
1129,1132
1129,1334
1129,2820
1131,149
1131,228
1131,1129
1132,149
1132,228
1132,244
1132,1129
1132,1131
1132,1334
1132,2820
1139,1027
1139,1223
1139,1264
1142,532
